Identifier,County,Precinct Name,Location Name,Address,City,Zip,Auth 1,Auth 2,,,,,,,,
67,Black Hawk,CF W3 P3,MAUCKER UNION BALLROOM,63 SABIN-MAUCKER,CEDAR FALLS,50613,pBzWzg5o,arbpprfh,0,0,0,0,0,0,0,0
68,Black Hawk,CF W4 P1,ORCHARD HILL ELEMENTARY GYM,3909 ROWND ST ,CEDAR FALLS,50613,PFCwknoy,MxGmIODo,0,0,0,0,0,0,0,0
69,Black Hawk,CF W4 P2,"CEDAR HEIGHTS ELEMENTARY, LUNCHROOM",2417 RAINBOW DR,CEDAR FALLS,50613,zXbM3uRG,lhzo4ak4,0,0,0,0,0,0,0,0
70,Black Hawk,CF W4 P3,UNI WEST GYM ,1227 W 27TH ST,CEDAR FALLS,50613,NqnDv1wi,cZGwragc,0,0,0,0,0,0,0,0
71,Black Hawk,CF W5 P1,CEDAR HEIGHTS ELEMENTARY GYM,2417 RAINBOW DR,CEDAR FALLS,50613,IhZOMfEJ,RPAqlfue,0,0,0,0,0,0,0,0
72,Black Hawk,CF W5 P2,ORCHARD HILL ELEMENTARY LUNCHROOM,3909 ROWND ST ,CEDAR FALLS,50613,BHRnkTPt,fzF2Zquv,0,0,0,0,0,0,0,0
73,Black Hawk,CF W5 P3,SOUTHDALE ELEMENTARY LUNCHROOM,627 ORCHARD DR,CEDAR FALLS,50613,s7zHQkyM,Qq0J47z1,0,0,0,0,0,0,0,0
74,Black Hawk,Cedar Orange,"HAWKEYE COMMUNITY COLLEGE, TAMA HALL AUDITORIUM ",1501 E ORANGE RD,WATERLOO,50701,c153p5aa,OMY6yQIf,0,0,0,0,0,0,0,0
75,Black Hawk,Eagle,"HUDSON HIGH SCHOOL, COMMONS CLASSROOM",245 S WASHINGTON ST,HUDSON,50643,5NzlpvXE,3PpmgXvh,0,0,0,0,0,0,0,0
76,Black Hawk,Elk Run Heights & Raymond,ELK RUN PRESCHOOL - GYM,316 MCCOY RD,ELK RUN HEIGHTS,50707,TzErR9xV,mbJ2Sjwy,0,0,0,0,0,0,0,0
77,Black Hawk,Evansdale W1,POYNER ELEMENTARY- LUNCHROOM,1138 CENTRAL AVE,EVANSDALE,50707,IRptobJf,PaRGLus7,0,0,0,0,0,0,0,0
78,Black Hawk,Evansdale W2,POYNER ELEMENTARY - GYM,1138 CENTRAL AVE,EVANSDALE,50707,K95YtHxW,heQ6JCbz,0,0,0,0,0,0,0,0
79,Black Hawk,Evansdale W3,"HIGHLAND ELEMENTARY SCHOOL, LUNCHROOM",812 IDAHO ST,WATERLOO,50701,sqdDmbJb,fbLnFEO8,0,0,0,0,0,0,0,0
80,Black Hawk,Evansdale W4,WATERLOO CENTER FOR THE ARTS - LAW REDDINGTON THEATRE,225 COMMERCIAL ST,WATERLOO,50701,EeVWdbTt,ToSfasL6,0,0,0,0,0,0,0,0
